dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
21124,128_90,619200,0,27900,591300,0,0,0,1,1,0,0
21124,128_91,10035900,2454300,492300,6928200,63900,97200,1,1,1,1,1
21124,128_92,9549900,509400,153900,8738100,148500,0,1,1,1,1,0
21124,128_93,8332200,251100,18000,7941600,121500,0,1,1,1,1,0
21124,128_94,150300,0,0,150300,0,0,0,0,1,0,0
21124,129_89,1157400,828000,120600,189000,0,19800,1,1,1,0,1
21124,129_90,12249000,4732200,590400,6696000,13500,216900,1,1,1,1,1
21124,129_91,16001100,0,598500,15220800,0,181800,0,1,1,0,1
21124,129_92,15997500,0,47700,15938100,6300,5400,0,1,1,1,1
21124,129_93,15999300,0,39600,15959700,0,0,0,1,1,0,0
21124,129_94,6465600,0,80100,6385500,0,0,0,1,1,0,0
21124,130_88,2483100,22500,59400,2331900,14400,54900,1,1,1,1,1
21124,130_89,10305000,1380600,854100,7933500,0,136800,1,1,1,0,1
21124,130_90,15998400,761400,719100,14229900,20700,267300,1,1,1,1,1
21124,130_91,16000200,0,245700,15746400,0,8100,0,1,1,0,1
21124,130_92,16002000,0,72000,15924600,5400,0,0,1,1,1,0
21124,130_93,15998400,0,297900,15684300,16200,0,0,1,1,1,0
21124,130_94,12182400,0,73800,12060900,37800,9900,0,1,1,1,1
21124,131_88,12371400,4380300,1242000,6609600,86400,53100,1,1,1,1,1
21124,131_89,16000200,3434400,747000,11718000,37800,63000,1,1,1,1,1
21124,131_90,12366000,316800,679500,11050200,41400,278100,1,1,1,1,1
21124,131_91,15684300,0,659700,14760000,9000,255600,0,1,1,1,1
21124,131_92,16000200,0,206100,15768000,26100,0,0,1,1,1,0
21124,131_93,16000200,0,4500,15970500,25200,0,0,1,1,1,0
21124,131_94,15543900,0,50400,15469200,0,24300,0,1,1,0,1
21124,131_95,1836900,0,13500,1809000,0,14400,0,1,1,0,1
21124,132_88,4125600,1017000,1854000,1254600,0,0,1,1,1,0,0
21124,132_89,15391800,13488300,981900,895500,26100,0,1,1,1,1,0
21124,132_90,5905800,3987900,137700,1780200,0,0,1,1,1,0,0
21124,132_91,9819900,2034900,1201500,6300000,62100,221400,1,1,1,1,1
21124,132_92,16002000,499500,588600,14690700,0,223200,1,1,1,0,1
21124,132_93,15998400,0,322200,15601500,74700,0,0,1,1,1,0
21124,132_94,16000200,0,255600,15688800,0,55800,0,1,1,0,1
21124,132_95,11199600,51300,27000,11020500,22500,78300,1,1,1,1,1
21124,132_96,900,0,0,900,0,0,0,0,1,0,0
21124,133_89,7170300,3519900,1524600,2125800,0,0,1,1,1,0,0
21124,133_90,2095200,424800,744300,914400,0,11700,1,1,1,0,1
21124,133_91,778500,263700,4500,505800,0,4500,1,1,1,0,1
21124,133_92,6773400,1910700,209700,4587300,35100,30600,1,1,1,1,1
21124,133_93,10840500,442800,506700,9693900,0,197100,1,1,1,0,1
21124,133_94,11448000,6662700,417600,4344300,5400,18000,1,1,1,1,1
21124,133_95,16000200,1582200,810000,13490100,0,117900,1,1,1,0,1
21124,133_96,4179600,0,67500,3969900,0,142200,0,1,1,0,1
21124,134_94,9360000,5839200,559800,2945700,0,15300,1,1,1,0,1
21124,134_95,13871700,891900,260100,12710700,0,9000,1,1,1,0,1
21124,134_96,12981600,0,0,12835800,0,145800,0,0,1,0,1
21124,135_94,1998900,1851300,72900,74700,0,0,1,1,1,0,0
21124,135_95,15508800,2866500,417600,12224700,0,0,1,1,1,0,0
21124,135_96,15615000,1684800,485100,13302900,78300,63900,1,1,1,1,1
21124,135_97,2501100,24300,10800,2466000,0,0,1,1,1,0,0
21124,136_95,2151900,1503000,128700,513900,0,6300,1,1,1,0,1
21124,136_96,15079500,4839300,651600,9588600,0,0,1,1,1,0,0
21124,136_97,15064200,3470400,333900,11259900,0,0,1,1,1,0,0
21124,136_98,8777700,735300,180000,7847100,0,15300,1,1,1,0,1
21124,136_99,440100,0,0,440100,0,0,0,0,1,0,0
21124,137_96,5612400,1329300,153000,4130100,0,0,1,1,1,0,0
21124,137_97,15937200,6210000,397800,9324900,4500,0,1,1,1,1,0
21124,137_98,15840000,2037600,197100,13605300,0,0,1,1,1,0,0
21124,137_99,5932800,0,125100,5806800,0,900,0,1,1,0,1
21124,138_97,2409300,90900,54000,2026800,0,237600,1,1,1,0,1
21124,138_98,1340100,0,7200,1237500,0,95400,0,1,1,0,1
