dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
16131,86_72,7884900,686700,194400,6963300,0,40500,1,1,1,0,1
16131,86_73,4732200,558000,330300,3834000,0,9900,1,1,1,0,1
16131,86_74,1741500,39600,95400,1606500,0,0,1,1,1,0,0
16131,86_76,905400,0,0,905400,0,0,0,0,1,0,0
16131,86_77,753300,0,106200,647100,0,0,0,1,1,0,0
16131,87_72,3427200,460800,153000,2691000,29700,92700,1,1,1,1,1
16131,87_73,16001100,3558600,616500,11622600,4500,198900,1,1,1,1,1
16131,87_74,15059700,148500,171900,14688000,41400,9900,1,1,1,1,1
16131,87_75,12169800,0,13500,12148200,8100,0,0,1,1,1,0
16131,87_76,12888900,63000,495900,12325500,4500,0,1,1,1,1,0
16131,87_77,15074100,0,1945800,13128300,0,0,0,1,1,0,0
16131,87_78,9893700,0,1134000,8662500,97200,0,0,1,1,1,0
16131,87_79,2430000,0,830700,1560600,38700,0,0,1,1,1,0
16131,88_72,671400,1800,54000,615600,0,0,1,1,1,0,0
16131,88_73,11974500,3140100,435600,8222400,30600,145800,1,1,1,1,1
16131,88_74,16000200,840600,856800,14229000,25200,48600,1,1,1,1,1
16131,88_75,16000200,816300,830700,14325300,22500,5400,1,1,1,1,1
16131,88_76,16000200,153000,1854900,13992300,0,0,1,1,1,0,0
16131,88_77,16000200,0,7622100,8178300,199800,0,0,1,1,1,0
16131,88_78,8487000,0,1780200,6694200,12600,0,0,1,1,1,0
16131,88_79,100800,0,29700,71100,0,0,0,1,1,0,0
16131,89_73,5242500,555300,546300,3940200,9900,190800,1,1,1,1,1
16131,89_74,15998400,4235400,813600,10782000,24300,143100,1,1,1,1,1
16131,89_75,16000200,2088900,1256400,12616200,9000,29700,1,1,1,1,1
16131,89_76,15999300,387000,1063800,14548500,0,0,1,1,1,0,0
16131,89_77,15491700,0,7077600,8409600,4500,0,0,1,1,1,0
16131,89_78,958500,0,876600,81900,0,0,0,1,1,0,0
16131,90_73,4489200,3600,833400,3518100,33300,100800,1,1,1,1,1
16131,90_74,9642600,1764000,984600,6781500,29700,82800,1,1,1,1,1
16131,90_75,12857400,1018800,1382400,10393200,58500,4500,1,1,1,1,1
16131,90_76,15552900,225900,2998800,12301200,27000,0,1,1,1,1,0
16131,90_77,7377300,0,2952000,4391100,7200,27000,0,1,1,1,1
16131,91_74,9520200,2884500,1719000,4838400,6300,72000,1,1,1,1,1
16131,91_75,16001100,1233000,4846500,9876600,0,45000,1,1,1,0,1
16131,91_76,15027300,593100,1682100,12748500,3600,0,1,1,1,1,0
16131,91_77,64800,0,4500,60300,0,0,0,1,1,0,0
16131,92_73,119700,0,119700,0,0,0,0,1,0,0,0
16131,92_74,12751200,719100,7863300,4099500,0,69300,1,1,1,0,1
16131,92_75,15998400,1366200,3415500,11032200,88200,96300,1,1,1,1,1
16131,92_76,12668400,570600,2022300,9991800,55800,27900,1,1,1,1,1
16131,93_73,25200,0,21600,1800,0,1800,0,1,1,0,1
16131,93_74,7756200,135900,3862800,3645900,0,111600,1,1,1,0,1
16131,93_75,15789600,1144800,3420900,10924200,158400,141300,1,1,1,1,1
16131,93_76,3741300,0,1305900,2421900,7200,6300,0,1,1,1,1
16131,94_74,6243300,164700,4939200,1124100,5400,9900,1,1,1,1,1
16131,94_75,11339100,1097100,7515000,2640600,53100,33300,1,1,1,1,1
16131,94_76,131400,0,38700,92700,0,0,0,1,1,0,0
