dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
20824,129_82,1359900,1156500,202500,900,0,0,1,1,1,0,0
20824,129_83,8501400,7560900,854100,86400,0,0,1,1,1,0,0
20824,129_84,3613500,3518100,64800,30600,0,0,1,1,1,0,0
20824,129_85,656100,630000,26100,0,0,0,1,1,0,0,0
20824,130_80,1682100,1558800,74700,15300,4500,28800,1,1,1,1,1
20824,130_81,9009000,8587800,255600,58500,16200,90900,1,1,1,1,1
20824,130_82,15368400,13705200,1180800,329400,28800,124200,1,1,1,1,1
20824,130_83,15999300,11154600,4454100,381600,9000,0,1,1,1,1,0
20824,130_84,14509800,13208400,1097100,204300,0,0,1,1,1,0,0
20824,130_85,13001400,11627100,1019700,261000,0,93600,1,1,1,0,1
20824,130_86,2070000,1756800,155700,40500,46800,70200,1,1,1,1,1
20824,131_79,8584200,6386400,290700,547200,49500,1310400,1,1,1,1,1
20824,131_80,15550200,14622300,610200,11700,40500,265500,1,1,1,1,1
20824,131_81,16000200,14725800,919800,34200,21600,298800,1,1,1,1,1
20824,131_82,15999300,12628800,3135600,162000,36900,36000,1,1,1,1,1
20824,131_83,13775400,12180600,1001700,407700,0,185400,1,1,1,0,1
20824,131_84,9439200,7148700,1197900,842400,73800,176400,1,1,1,1,1
20824,131_85,1544400,1272600,74700,68400,6300,122400,1,1,1,1,1
20824,132_79,8814600,5880600,473400,774900,57600,1628100,1,1,1,1,1
20824,132_80,8856900,7735500,428400,51300,0,641700,1,1,1,0,1
20824,132_81,10687500,9721800,498600,18000,4500,444600,1,1,1,1,1
20824,132_82,4922100,4176900,490500,51300,0,203400,1,1,1,0,1
20824,132_83,24300,15300,0,0,0,9000,1,0,0,0,1
20824,133_79,75600,29700,0,14400,0,31500,1,0,1,0,1
