dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
23616,156_110,565200,531900,33300,0,0,0,1,1,0,0,0
23616,156_111,523800,412200,14400,61200,36000,0,1,1,1,1,0
23616,157_109,1657800,1570500,26100,3600,31500,26100,1,1,1,1,1
23616,157_110,14188500,13086000,758700,135900,54900,153000,1,1,1,1,1
23616,157_111,3942000,3295800,127800,396900,64800,56700,1,1,1,1,1
23616,158_109,3532500,3294900,146700,90900,0,0,1,1,1,0,0
23616,158_110,2998800,2787300,63900,147600,0,0,1,1,1,0,0
