dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
40123,75_28,225000,0,10800,214200,0,0,0,1,1,0,0
40123,75_30,18000,0,3600,14400,0,0,0,1,1,0,0
40123,75_31,8583300,0,621000,7956900,0,5400,0,1,1,0,1
40123,75_32,1293300,0,110700,1182600,0,0,0,1,1,0,0
40123,76_28,12861900,0,596700,12200400,16200,48600,0,1,1,1,1
40123,76_29,10018800,0,856800,9108000,35100,18900,0,1,1,1,1
40123,76_30,7231500,0,411300,6820200,0,0,0,1,1,0,0
40123,76_31,16001100,0,999000,14992200,5400,4500,0,1,1,1,1
40123,76_32,6186600,0,240300,5946300,0,0,0,1,1,0,0
40123,77_28,11266200,0,199800,11066400,0,0,0,1,1,0,0
40123,77_29,16002000,0,969300,15032700,0,0,0,1,1,0,0
40123,77_30,15999300,0,758700,15240600,0,0,0,1,1,0,0
40123,77_31,15999300,1094400,1235700,13526100,15300,127800,1,1,1,1,1
40123,77_32,8625600,684900,536400,7358400,14400,31500,1,1,1,1,1
40123,78_28,7222500,0,85500,7042500,60300,34200,0,1,1,1,1
40123,78_29,15556500,0,60300,15496200,0,0,0,1,1,0,0
40123,78_30,16000200,0,450000,15550200,0,0,0,1,1,0,0
40123,78_31,16000200,1458000,3384900,11004300,9000,144000,1,1,1,1,1
40123,78_32,15047100,2442600,1712700,10814400,57600,19800,1,1,1,1,1
40123,78_33,405900,0,3600,402300,0,0,0,1,1,0,0
40123,79_29,5931900,0,22500,5909400,0,0,0,1,1,0,0
40123,79_30,2148300,0,0,2148300,0,0,0,0,1,0,0
40123,79_31,4237200,164700,801000,3260700,0,10800,1,1,1,0,1
40123,79_32,5162400,116100,875700,4170600,0,0,1,1,1,0,0
40123,79_33,431100,0,1800,429300,0,0,0,1,1,0,0
