dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
17406,79_45,5778900,0,27900,5751000,0,0,0,1,1,0,0
17406,79_46,2078100,0,0,2078100,0,0,0,0,1,0,0
17406,79_47,1469700,0,0,1469700,0,0,0,0,1,0,0
17406,80_45,8391600,0,63900,8327700,0,0,0,1,1,0,0
17406,80_46,11341800,0,0,11341800,0,0,0,0,1,0,0
17406,80_47,13877100,0,0,13877100,0,0,0,0,1,0,0
17406,80_48,6102000,0,104400,5991300,6300,0,0,1,1,1,0
17406,81_46,420300,0,0,420300,0,0,0,0,1,0,0
17406,81_47,11394000,0,19800,11352600,21600,0,0,1,1,1,0
17406,81_48,15525000,0,376200,15126300,22500,0,0,1,1,1,0
17406,81_49,14400,0,0,14400,0,0,0,0,1,0,0
17406,82_47,10840500,0,351900,10488600,0,0,0,1,1,0,0
17406,82_48,13235400,326700,252900,12579300,72000,4500,1,1,1,1,1
17406,83_47,13733100,0,171000,13562100,0,0,0,1,1,0,0
17406,83_48,15124500,0,288900,14711400,118800,5400,0,1,1,1,1
17406,83_49,69300,0,0,69300,0,0,0,0,1,0,0
17406,84_47,12588300,0,568800,12019500,0,0,0,1,1,0,0
17406,84_48,16000200,0,346500,15610500,10800,32400,0,1,1,1,1
17406,84_49,2802600,0,22500,2780100,0,0,0,1,1,0,0
17406,84_50,8100,0,0,8100,0,0,0,0,1,0,0
17406,85_47,2388600,0,196200,2192400,0,0,0,1,1,0,0
17406,85_48,13925700,0,568800,13356900,0,0,0,1,1,0,0
17406,85_49,14406300,0,259200,14147100,0,0,0,1,1,0,0
17406,85_50,3825000,0,184500,3640500,0,0,0,1,1,0,0
17406,86_48,3288600,0,61200,3222000,0,5400,0,1,1,0,1
17406,86_49,15999300,0,757800,15237000,0,4500,0,1,1,0,1
17406,86_50,13338000,0,241200,12854700,242100,0,0,1,1,1,0
17406,87_48,1618200,0,0,1616400,0,1800,0,0,1,0,1
17406,87_49,14660100,0,0,14654700,0,5400,0,0,1,0,1
17406,87_50,13432500,0,207000,13225500,0,0,0,1,1,0,0
17406,88_49,1995300,0,0,1995300,0,0,0,0,1,0,0
17406,88_50,8424000,0,148500,8275500,0,0,0,1,1,0,0
17406,88_51,35100,0,0,35100,0,0,0,0,1,0,0
