dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
14152,47_47,1269000,0,10800,1147500,20700,90000,0,1,1,1,1
14152,48_46,5176800,0,0,5137200,0,39600,0,0,1,0,1
14152,48_47,15514200,0,27000,15344100,0,143100,0,1,1,0,1
14152,48_48,14177700,16200,90900,13539600,24300,506700,1,1,1,1,1
14152,48_49,11232900,750600,312300,8191800,48600,1929600,1,1,1,1,1
14152,48_50,9760500,635400,239400,7326900,26100,1532700,1,1,1,1,1
14152,48_51,9171900,3652200,648900,2943000,44100,1883700,1,1,1,1,1
14152,48_52,10737000,4319100,1103400,3862800,135000,1316700,1,1,1,1,1
14152,48_53,14112000,2121300,993600,8519400,92700,2385000,1,1,1,1,1
14152,48_54,6251400,980100,728100,4130100,258300,154800,1,1,1,1,1
14152,49_45,7940700,0,0,7940700,0,0,0,0,1,0,0
14152,49_46,15560100,0,0,15560100,0,0,0,0,1,0,0
14152,49_47,16001100,0,19800,15967800,0,13500,0,1,1,0,1
14152,49_48,15999300,533700,329400,14185800,14400,936000,1,1,1,1,1
14152,49_49,16000200,587700,818100,11051100,14400,3528900,1,1,1,1,1
14152,49_50,15999300,1190700,795600,11568600,13500,2430900,1,1,1,1,1
14152,49_51,15999300,591300,1009800,12445200,0,1953000,1,1,1,0,1
14152,49_52,16001100,447300,985500,14444100,0,124200,1,1,1,0,1
14152,49_53,15998400,0,633600,15342300,4500,18000,0,1,1,1,1
14152,49_54,4827600,203400,603900,2877300,859500,283500,1,1,1,1,1
14152,49_55,1216800,0,51300,1011600,125100,28800,0,1,1,1,1
14152,50_45,720900,0,0,720900,0,0,0,0,1,0,0
14152,50_46,9096300,0,9000,9087300,0,0,0,1,1,0,0
14152,50_47,15999300,0,160200,15711300,0,127800,0,1,1,0,1
14152,50_48,16000200,100800,378900,14361300,13500,1145700,1,1,1,1,1
14152,50_49,16000200,0,525600,14765400,16200,693000,0,1,1,1,1
14152,50_50,16001100,0,1182600,14690700,0,127800,0,1,1,0,1
14152,50_51,15869700,0,1080900,13975200,42300,771300,0,1,1,1,1
14152,50_52,15960600,616500,1431900,13901400,10800,0,1,1,1,1,0
14152,50_53,15998400,0,739800,15251400,7200,0,0,1,1,1,0
14152,50_54,12229200,273600,328500,10984500,557100,85500,1,1,1,1,1
14152,50_55,2133000,0,0,2017800,109800,5400,0,0,1,1,1
14152,51_45,854100,0,0,854100,0,0,0,0,1,0,0
14152,51_46,11041200,0,150300,10852200,0,38700,0,1,1,0,1
14152,51_47,16000200,0,307800,15159600,5400,527400,0,1,1,1,1
14152,51_48,16000200,131400,763200,14033700,12600,1059300,1,1,1,1,1
14152,51_49,13543200,0,672300,12853800,5400,11700,0,1,1,1,1
14152,51_50,8066700,0,384300,7677900,0,4500,0,1,1,0,1
14152,51_51,2655900,0,135000,2512800,8100,0,0,1,1,1,0
14152,51_52,2081700,0,101700,1980000,0,0,0,1,1,0,0
14152,51_53,7956900,0,433800,7354800,126000,42300,0,1,1,1,1
14152,51_54,1357200,0,0,1268100,58500,30600,0,0,1,1,1
14152,52_44,862200,0,8100,854100,0,0,0,1,1,0,0
14152,52_45,7198200,0,4500,7176600,17100,0,0,1,1,1,0
14152,52_46,10620900,0,0,10561500,5400,54000,0,0,1,1,1
14152,52_47,15550200,0,30600,14555700,11700,952200,0,1,1,1,1
14152,52_48,5970600,0,208800,5733900,3600,24300,0,1,1,1,1
14152,52_49,177300,0,0,177300,0,0,0,0,1,0,0
14152,53_47,2739600,0,95400,2630700,0,13500,0,1,1,0,1
