dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
20539,117_72,3681900,2043900,1346400,224100,0,67500,1,1,1,0,1
20539,117_73,843300,476100,336600,30600,0,0,1,1,1,0,0
20539,118_72,10201500,6479100,3190500,428400,68400,35100,1,1,1,1,1
20539,118_73,13970700,9970200,3473100,514800,0,12600,1,1,1,0,1
20539,118_74,3183300,2730600,452700,0,0,0,1,1,0,0,0
20539,119_72,6380100,1692000,4468500,219600,0,0,1,1,1,0,0
20539,119_73,15999300,7450200,8423100,108900,17100,0,1,1,1,1,0
20539,119_74,15947100,11479500,4436100,31500,0,0,1,1,1,0,0
20539,119_75,9072900,8587800,460800,24300,0,0,1,1,1,0,0
20539,119_76,358200,349200,9000,0,0,0,1,1,0,0,0
20539,119_77,5210100,4831200,336600,0,12600,29700,1,1,0,1,1
20539,119_78,3219300,2970000,137700,90000,0,21600,1,1,1,0,1
20539,120_72,9072900,3204000,5038200,382500,433800,14400,1,1,1,1,1
20539,120_73,16000200,5715900,9901800,370800,11700,0,1,1,1,1,0
20539,120_74,16000200,2847600,13114800,19800,0,18000,1,1,1,0,1
20539,120_75,15955200,13932000,1945800,59400,0,18000,1,1,1,0,1
20539,120_76,13624200,12311100,1303200,0,5400,4500,1,1,0,1,1
20539,120_77,16000200,14630400,1364400,0,0,5400,1,1,0,0,1
20539,120_78,15925500,13703400,2079000,143100,0,0,1,1,1,0,0
20539,120_79,15319800,10971000,4088700,260100,0,0,1,1,1,0,0
20539,120_80,10652400,9653400,844200,154800,0,0,1,1,1,0,0
20539,121_72,1403100,1288800,95400,0,1800,17100,1,1,0,1,1
20539,121_73,15489000,14268600,1190700,14400,5400,9900,1,1,1,1,1
20539,121_74,16000200,13923000,2061000,16200,0,0,1,1,1,0,0
20539,121_75,15999300,13430700,2531700,20700,0,16200,1,1,1,0,1
20539,121_76,15984900,11450700,4436100,49500,0,48600,1,1,1,0,1
20539,121_77,15073200,13906800,829800,25200,35100,276300,1,1,1,1,1
20539,121_78,13680000,12049200,865800,279900,35100,450000,1,1,1,1,1
20539,121_79,12114000,10525500,1044000,152100,9900,382500,1,1,1,1,1
20539,121_80,11729700,9553500,1451700,337500,198900,188100,1,1,1,1,1
20539,122_73,10612800,9562500,801900,11700,55800,180900,1,1,1,1,1
20539,122_74,16000200,14872500,932400,30600,14400,150300,1,1,1,1,1
20539,122_75,12526200,9630900,2501100,10800,4500,378900,1,1,1,1,1
20539,122_76,4985100,987300,2993400,85500,106200,812700,1,1,1,1,1
20539,122_77,546300,396000,0,0,0,150300,1,0,0,0,1
20539,122_78,189900,119700,0,0,0,70200,1,0,0,0,1
20539,122_79,139500,26100,0,7200,0,106200,1,0,1,0,1
20539,122_80,932400,576900,63000,81900,0,210600,1,1,1,0,1
20539,123_73,9190800,8469000,485100,15300,43200,178200,1,1,1,1,1
20539,123_74,7277400,5697000,139500,27000,36900,1377000,1,1,1,1,1
20539,123_75,701100,444600,2700,7200,0,246600,1,1,1,0,1
20539,124_73,675900,451800,21600,47700,3600,151200,1,1,1,1,1
