dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
17004,72_67,5678100,0,4752000,750600,175500,0,0,1,1,1,0
17004,73_66,1134900,51300,153900,603900,242100,83700,1,1,1,1,1
17004,73_67,11083500,163800,6285600,4258800,281700,93600,1,1,1,1,1
17004,74_65,2241000,187200,185400,501300,311400,1055700,1,1,1,1,1
17004,74_66,14976900,1582200,1297800,8029800,352800,3714300,1,1,1,1,1
17004,74_67,8883000,1246500,932400,6672600,0,31500,1,1,1,0,1
17004,75_65,27900,0,0,6300,21600,0,0,0,1,1,0
17004,75_66,14242500,7379100,948600,5301000,265500,348300,1,1,1,1,1
17004,75_67,11006100,5814000,442800,4638600,20700,90000,1,1,1,1,1
17004,75_68,837900,0,35100,771300,0,31500,0,1,1,0,1
17004,76_65,3588300,2392200,441900,93600,268200,392400,1,1,1,1,1
17004,76_66,15894000,10870200,1103400,3700800,64800,154800,1,1,1,1,1
17004,76_67,16000200,7281900,756900,7840800,0,120600,1,1,1,0,1
17004,76_68,8138700,472500,208800,7457400,0,0,1,1,1,0,0
17004,77_65,1015200,496800,3600,71100,189000,254700,1,1,1,1,1
17004,77_66,15815700,13270500,924300,569700,118800,932400,1,1,1,1,1
17004,77_67,15999300,9102600,1166400,4752000,98100,880200,1,1,1,1,1
17004,77_68,13263300,3467700,454500,9177300,18900,144900,1,1,1,1,1
17004,77_69,653400,16200,1800,635400,0,0,1,1,1,0,0
17004,78_65,772200,432900,0,0,146700,192600,1,0,0,1,1
17004,78_66,3968100,3369600,145800,5400,35100,412200,1,1,1,1,1
17004,78_67,4424400,3733200,24300,130500,0,536400,1,1,1,0,1
17004,78_68,1186200,436500,49500,639000,0,61200,1,1,1,0,1
17004,78_69,72900,1800,0,70200,0,900,1,0,1,0,1
