dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
35437,256_191,3646800,0,67500,3579300,0,0,0,1,1,0,0
35437,256_192,1103400,0,0,1103400,0,0,0,0,1,0,0
35437,257_190,1314000,0,0,1314000,0,0,0,0,1,0,0
35437,257_191,15704100,0,368100,15336000,0,0,0,1,1,0,0
35437,257_192,5419800,0,291600,5128200,0,0,0,1,1,0,0
35437,258_190,5765400,0,14400,5751000,0,0,0,1,1,0,0
35437,258_191,16000200,0,336600,15663600,0,0,0,1,1,0,0
35437,258_192,6163200,0,26100,6137100,0,0,0,1,1,0,0
35437,259_190,4079700,0,0,4079700,0,0,0,0,1,0,0
35437,259_191,15999300,0,272700,15726600,0,0,0,1,1,0,0
35437,259_192,6381000,0,114300,6266700,0,0,0,1,1,0,0
35437,260_190,210600,0,0,210600,0,0,0,0,1,0,0
35437,260_191,12580200,0,26100,12554100,0,0,0,1,1,0,0
35437,260_192,6560100,0,150300,6409800,0,0,0,1,1,0,0
35437,261_191,1604700,0,79200,1525500,0,0,0,1,1,0,0
35437,261_192,5979600,0,410400,5569200,0,0,0,1,1,0,0
35437,262_192,657000,0,15300,641700,0,0,0,1,1,0,0
