dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
21639,123_71,4275000,3852900,396900,25200,0,0,1,1,1,0,0
21639,123_72,9315900,9109800,89100,63000,23400,30600,1,1,1,1,1
21639,123_73,1080900,280800,79200,346500,193500,180900,1,1,1,1,1
21639,124_69,710100,0,1800,708300,0,0,0,1,1,0,0
21639,124_70,142200,0,900,141300,0,0,0,1,1,0,0
21639,124_71,457200,419400,37800,0,0,0,1,1,0,0,0
21639,124_72,11781000,11155500,489600,69300,27000,39600,1,1,1,1,1
21639,124_73,4442400,2862000,212400,474300,244800,648900,1,1,1,1,1
21639,125_68,3241800,0,0,3241800,0,0,0,0,1,0,0
21639,125_69,15040800,0,0,15040800,0,0,0,0,1,0,0
21639,125_70,14066100,92700,426600,13546800,0,0,1,1,1,0,0
21639,125_71,12119400,5328000,1251900,5246100,288000,5400,1,1,1,1,1
21639,125_72,2311200,2208600,84600,18000,0,0,1,1,1,0,0
21639,126_68,170100,0,0,170100,0,0,0,0,1,0,0
21639,126_69,3086100,0,0,3086100,0,0,0,0,1,0,0
21639,126_70,6898500,0,120600,6777900,0,0,0,1,1,0,0
21639,126_71,3872700,75600,197100,3600000,0,0,1,1,1,0,0
