dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
26218,26_100,7799400,3502800,235800,3155400,0,905400,1,1,1,0,1
26218,26_101,34200,0,0,32400,0,1800,0,0,1,0,1
26218,26_97,171900,0,0,171900,0,0,0,0,1,0,0
26218,26_98,7547400,0,0,7359300,177300,10800,0,0,1,1,1
26218,26_99,7809300,0,3600,7805700,0,0,0,1,1,0,0
26218,27_100,15960600,1967400,151200,13821300,0,20700,1,1,1,0,1
26218,27_101,27000,0,900,26100,0,0,0,1,1,0,0
26218,27_97,6383700,0,0,6351300,0,32400,0,0,1,0,1
26218,27_98,15996600,0,0,15680700,48600,267300,0,0,1,1,1
26218,27_99,15996600,0,0,15972300,0,24300,0,0,1,0,1
26218,28_100,16002000,0,0,15841800,107100,53100,0,0,1,1,1
26218,28_101,4500,0,0,4500,0,0,0,0,1,0,0
26218,28_97,1372500,0,0,1372500,0,0,0,0,1,0,0
26218,28_98,8115300,0,0,7592400,0,522900,0,0,1,0,1
26218,28_99,16001100,120600,0,15539400,78300,262800,1,0,1,1,1
26218,29_100,15998400,0,0,15585300,32400,380700,0,0,1,1,1
26218,29_101,9000,0,0,9000,0,0,0,0,1,0,0
26218,29_98,7610400,0,0,7424100,9900,176400,0,0,1,1,1
26218,29_99,15997500,33300,0,15401700,171000,391500,1,0,1,1,1
26218,30_100,16003800,0,0,16003800,0,0,0,0,1,0,0
26218,30_101,45900,0,0,45900,0,0,0,0,1,0,0
26218,30_98,12169800,0,0,12046500,0,123300,0,0,1,0,1
26218,30_99,15999300,230400,0,15746400,0,22500,1,0,1,0,1
26218,31_100,16001100,12600,0,15988500,0,0,1,0,1,0,0
26218,31_101,62100,0,0,62100,0,0,0,0,1,0,0
26218,31_98,8090100,0,0,8061300,0,28800,0,0,1,0,1
26218,31_99,16001100,35100,0,15960600,0,5400,1,0,1,0,1
26218,32_100,16004700,0,0,16003800,0,900,0,0,1,0,1
26218,32_101,107100,0,0,107100,0,0,0,0,1,0,0
26218,32_98,490500,0,0,490500,0,0,0,0,1,0,0
26218,32_99,8328600,0,0,8323200,0,5400,0,0,1,0,1
26218,33_100,9604800,0,0,9577800,10800,16200,0,0,1,1,1
26218,33_101,161100,0,0,161100,0,0,0,0,1,0,0
26218,33_99,945900,0,0,887400,0,58500,0,0,1,0,1
26218,34_100,217800,0,0,217800,0,0,0,0,1,0,0
26218,34_101,18900,0,0,18900,0,0,0,0,1,0,0
