dau_co_id,grid_id,dau_cogrdarea,aggrdarea,urgrdarea,nvgrdarea,wsgrdarea,wetgrdarea,ag,urban,nv,water,wetlands
40323,79_28,1494900,0,86400,1408500,0,0,0,1,1,0,0
40323,79_29,9109800,0,306900,8802900,0,0,0,1,1,0,0
40323,79_30,13851900,0,201600,13650300,0,0,0,1,1,0,0
40323,79_31,11762100,0,1825200,9927900,9000,0,0,1,1,1,0
40323,79_32,3288600,0,757800,2530800,0,0,0,1,1,0,0
40323,80_28,9096300,0,399600,8690400,0,6300,0,1,1,0,1
40323,80_29,16000200,0,286200,15714000,0,0,0,1,1,0,0
40323,80_30,16000200,0,351900,15648300,0,0,0,1,1,0,0
40323,80_31,16001100,1589400,4347000,9999900,32400,32400,1,1,1,1,1
40323,80_32,8537400,704700,1827900,5975100,7200,22500,1,1,1,1,1
40323,80_33,5290200,0,205200,5085000,0,0,0,1,1,0,0
40323,80_34,2553300,0,45900,2507400,0,0,0,1,1,0,0
40323,81_28,1044900,0,72000,972900,0,0,0,1,1,0,0
40323,81_29,13232700,0,217800,13014900,0,0,0,1,1,0,0
40323,81_30,15999300,0,531000,15468300,0,0,0,1,1,0,0
40323,81_31,16000200,1629000,8029800,6335100,6300,0,1,1,1,1,0
40323,81_32,16000200,3027600,3410100,9418500,79200,64800,1,1,1,1,1
40323,81_33,16001100,0,213300,15787800,0,0,0,1,1,0,0
40323,81_34,9363600,0,14400,9349200,0,0,0,1,1,0,0
40323,82_29,5890500,0,142200,5748300,0,0,0,1,1,0,0
40323,82_30,16001100,0,295200,15705900,0,0,0,1,1,0,0
40323,82_31,15999300,900,5058900,10939500,0,0,1,1,1,0,0
40323,82_32,15999300,10101600,3986100,1728900,58500,124200,1,1,1,1,1
40323,82_33,16000200,722700,731700,14532300,13500,0,1,1,1,1,0
40323,82_34,6165000,0,198900,5966100,0,0,0,1,1,0,0
40323,83_29,3258000,0,198000,3060000,0,0,0,1,1,0,0
40323,83_30,15856200,0,523800,15332400,0,0,0,1,1,0,0
40323,83_31,16000200,31500,819900,15143400,5400,0,1,1,1,1,0
40323,83_32,16000200,5684400,2508300,7557300,38700,211500,1,1,1,1,1
40323,83_33,15999300,0,489600,15509700,0,0,0,1,1,0,0
40323,83_34,3349800,0,82800,3267000,0,0,0,1,1,0,0
40323,84_30,12115800,0,288000,11827800,0,0,0,1,1,0,0
40323,84_31,15999300,24300,625500,15320700,15300,13500,1,1,1,1,1
40323,84_32,16000200,1871100,1214100,12807000,30600,77400,1,1,1,1,1
40323,84_33,16000200,125100,710100,15060600,72900,31500,1,1,1,1,1
40323,84_34,10345500,0,246600,10098900,0,0,0,1,1,0,0
40323,85_30,11167200,0,142200,11025000,0,0,0,1,1,0,0
40323,85_31,16000200,0,176400,15823800,0,0,0,1,1,0,0
40323,85_32,15999300,0,450900,15548400,0,0,0,1,1,0,0
40323,85_33,16001100,2083500,1583100,12090600,108000,135900,1,1,1,1,1
40323,85_34,14594400,0,1116000,13478400,0,0,0,1,1,0,0
40323,85_35,1482300,0,81000,1401300,0,0,0,1,1,0,0
40323,86_29,295200,0,18900,276300,0,0,0,1,1,0,0
40323,86_30,12321000,0,56700,12264300,0,0,0,1,1,0,0
40323,86_31,16000200,0,7200,15993000,0,0,0,1,1,0,0
40323,86_32,16000200,42300,624600,15326100,0,7200,1,1,1,0,1
40323,86_33,15998400,4855500,2060100,8775000,229500,78300,1,1,1,1,1
40323,86_34,15999300,2605500,1470600,11830500,58500,34200,1,1,1,1,1
40323,86_35,13926600,1025100,721800,12179700,0,0,1,1,1,0,0
40323,86_36,5863500,0,310500,5553000,0,0,0,1,1,0,0
40323,87_30,1575900,0,18900,1557000,0,0,0,1,1,0,0
40323,87_31,11232000,0,168300,11063700,0,0,0,1,1,0,0
40323,87_32,16001100,0,503100,15493500,4500,0,0,1,1,1,0
40323,87_33,16000200,1422000,812700,13591800,151200,22500,1,1,1,1,1
40323,87_34,16000200,1202400,1229400,13388400,125100,54900,1,1,1,1,1
40323,87_35,15998400,676800,624600,14672700,24300,0,1,1,1,1,0
40323,87_36,9278100,0,345600,8932500,0,0,0,1,1,0,0
40323,88_31,622800,0,0,622800,0,0,0,0,1,0,0
40323,88_32,6088500,0,174600,5913900,0,0,0,1,1,0,0
40323,88_33,14973300,0,382500,14590800,0,0,0,1,1,0,0
40323,88_34,16000200,0,860400,14996700,129600,13500,0,1,1,1,1
40323,88_35,16002000,0,18900,15983100,0,0,0,1,1,0,0
40323,88_36,14838300,0,203400,14606100,18000,10800,0,1,1,1,1
40323,88_37,1757700,0,87300,1670400,0,0,0,1,1,0,0
40323,89_33,4760100,0,308700,4451400,0,0,0,1,1,0,0
40323,89_34,7139700,0,199800,6896700,36900,6300,0,1,1,1,1
40323,89_35,5742000,0,0,5742000,0,0,0,0,1,0,0
40323,89_36,11891700,0,93600,11798100,0,0,0,1,1,0,0
40323,89_37,15500700,0,203400,15297300,0,0,0,1,1,0,0
40323,89_38,7341300,0,201600,7115400,13500,10800,0,1,1,1,1
40323,89_39,229500,0,0,229500,0,0,0,0,1,0,0
40323,90_36,462600,0,0,462600,0,0,0,0,1,0,0
40323,90_37,2659500,0,47700,2611800,0,0,0,1,1,0,0
40323,90_38,840600,0,0,840600,0,0,0,0,1,0,0
40323,90_39,18000,0,0,18000,0,0,0,0,1,0,0
